happiness,mmm much better day... so far! it's still quite early. last day of #uds
happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
happiness,english class! working on interactive orals
happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
happiness,@UniqueMakis Awesome! Wish I could fly out to see her
happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
happiness,so carlie came over and she fell asleep on me
happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
happiness,@allyycase suuure
happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
happiness,"up early again  loads to do- but the suns out, hurrah!"
happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
happiness,@ColeDavid had  a little family party tonight   hope it rocked
happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
happiness,hahaha yeah i see that. but he can't twitter me back
happiness,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.
happiness,@assembled ive been there before  haha
happiness,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better"
happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
happiness,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.
happiness,@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb
happiness,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.
happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part
happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
happiness,@tifftiff88 what don't be sad?  Be glad. Your 21
happiness,Goodmorning yall! I woke up to early
happiness,@SharktailYPP The red font up the top is very nice. But where did they put all the old entries?
happiness,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?
happiness,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!
happiness,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though"
happiness,"@TerrenceJ106 I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!"
happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!
happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*
happiness,"@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y"
happiness,"@sueveeyall Haha, I wish I could"
happiness,"Warwick Castle http://snurl.com/izzau Amazing!  Off to Devon for a week...no internet, no updates"
happiness,good morning people !! in good old germany is it soooo cold
happiness,@sunnyphoenix there was like no1 there n tha DJ comp was hella wack... no gud DJs  but got in free so its all gud
happiness,wishes she would call him ...   *hc*
happiness,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work"
happiness,wish my nicky were home too
happiness,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx
happiness,huhuhu still working to get new clients in motion graphics
happiness,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
happiness,@Lara82 Yeah  He was such a good..erm...entertainment )
happiness,@mileycyrus I would totally take you to prom...if i hadnt already gone  sorry lol
happiness,@RASHIDIAN Come hang out wif meeee
happiness,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early
happiness,@pyroezra i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke
happiness,@carocat Nooo  But hey you're back next week! Are you moving back for good?
happiness,"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)"
happiness,@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though
happiness,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!
happiness,@NMaize Lucky Rob... always gettin' the T8's from Emalon
happiness,Going back to Manila this evening. All my trips to Cebu are so bitin.
happiness,@drewpeacock85 cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.
happiness,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!"
happiness,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late
happiness,"@mitch_400iso Me too, she was adorable and you could tell the pressure got to her."
happiness,@DaRealSunisaKim There's ding tai Fung here in Sydney aswell...  making me want dumplings...
happiness,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ
happiness,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny
happiness,Sleep....take two....this better work!
happiness,@ACALLPRO -- yeahhh u wasnt thereeeeeeeeeee
happiness,@DeadMemoriesX Poor you   If I was with you right now; I would probably give you a hug ;D
happiness,"Wow what a sunny day,  just recovering some erased files"
happiness,is wondering where all her friends went...
happiness,@mangointhesky idk. The original is so great.
happiness,Finishing Homework.  BOOO
